"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity",
"https://mi1.rightinthebox.com/images/190x190/201810/jgsqtg1539458086345.jpg","http://ecx.images-amazon.com/images/I/311VTJT3AiL._SL75_.jpg","12720  1136",0.291878172588832,0.0685,0,0.827694537756497,
"https://img.staticbg.com/thumb/gallery/oaupload/banggood/images/2C/B8/7e20af69-12e5-45a8-a7de-68fecae5b342.jpeg","http://ecx.images-amazon.com/images/I/41JGFjtgszL._SL75_.jpg","3152  1488",0.305263157894737,0.0586,0,0,
"https://lumiere-a.akamaihd.net/v1/images/file_3dd9d779.jpeg?width=1536&region=0%2C0%2C2000%2C2000&quality=8","http://ecx.images-amazon.com/images/I/51qMnxN51LL._SL75_.jpg","16112  4720",0.306,,0,0.246272154151763,
"https://mi7.rightinthebox.com/images/190x190/201804/egpyet1523847385293.jpg","http://ecx.images-amazon.com/images/I/41qY9Y44RgL._SL75_.jpg","3408  7248",0.310679611650485,0.0673,0,0,
"https://de2wfhoo6xqi5.cloudfront.net/size/200/ca9/4bb/791f0af25b220df50a077dc66185fb63be.jpg","http://ecx.images-amazon.com/images/I/31PX9bhnF5L._SL75_.jpg","8592  368",0.320754716981132,0.029,0,0.248830964534707,
"https://ii.worldmarket.com/fcgi-bin/iipsrv.fcgi?FIF=/images/worldmarket/source/962_XXX_v1.tif&qlt=75&wid=315&cvt=jpeg","http://ecx.images-amazon.com/images/I/41GpMEVUQDL._SL75_.jpg","5456  4048",0.323353293413174,,0,0,
"http://s3.sywcdn.net/getImage?url=https%3A%2F%2Fc.shld.net%2Frpx%2Fi%2Fs%2Fpi%2Fmp%2F29267%2Fprod_4631227323%3Fsrc%3Dhttp%253A%252F%252Fm2.uxcell.com%252Fphoto_new%252F20131004%252Fg%252Fux_a13100400ux0247_ux_g03.jpg%26d%3D44598eb93f6284392c71de7e40fc2a14db1e76ab&t=Product&w=210&h=210&qlt=100&mrg=1&s=554463c06755d990efa5a3c73cef1de7","http://ecx.images-amazon.com/images/I/41zh9ElDVrL._SL75_.jpg","2576  9040",0.324675324675325,0.0749,0,0,
"https://www.thatpetplace.com/site/images/product/268398_1.jpg?resizeid=3&resizeh=183&resizew=183","http://ecx.images-amazon.com/images/I/415Z74Odu6L._SL75_.jpg","2960  10128",0.325842696629213,0.0847,0,0,
"https://mi2.rightinthebox.com/images/240x240/201708/iolewe1503629301459.jpg","http://ecx.images-amazon.com/images/I/51DjpF6msLL._SL75_.jpg","13840  11024",0.328671328671329,0.0513,0,0,
"https://cdnimages.opentip.com/thumbs/KLC/KLC-VDT20-721001000_160_160.jpg","http://ecx.images-amazon.com/images/I/41W%2BilZ6xIL._SL75_.jpg","4816  2864",0.333333333333333,0.0837,0,0,
"https://images.homedepot-static.com/productImages/340ab16d-591b-4490-b588-d30fe903c023/svn/multi-blue-jeffrey-court-mosaic-tile-99148-64_400_compressed.jpg","http://ecx.images-amazon.com/images/I/31Us-Qi--fL._SL75_.jpg","15984  496",0.336693548387097,0.0443,0,0,
"https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6259/6259413_sa.jpg","http://ecx.images-amazon.com/images/I/41%2BwZrQvR3L._SL75_.jpg","15408  4656",0.336820083682008,0.0688,0,0.755861645546197,
"https://images.sportsdirect.com/images/products/23257708_4pl.jpg","http://ecx.images-amazon.com/images/I/41p6n3gNVML._SL75_.jpg","8752  2288",0.337037037037037,0.0953,0,0.189254640919723,
"https://mi2.rightinthebox.com/images/190x190/201809/xypyld1536735090602.jpg","http://ecx.images-amazon.com/images/I/41r3T0KJbIL._SL75_.jpg","7568  9712",0.339055793991416,0.0439,0,1,
"https://mi5.rightinthebox.com/images/240x240/201401/ohfwyx1389063229304.jpg","http://ecx.images-amazon.com/images/I/61vDQ5mt-WL._SL75_.jpg","14736  14384",0.341356673960613,0.0764,0,0.12408183041464,
"https://target.scene7.com/is/image/Target/53293735?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51w9jM0p09L._SL75_.jpg","9008  1680",0.341726618705036,0.0789,0,0,
"https://mi5.rightinthebox.com/images/190x190/201804/vrytim1523433983586.jpg","http://ecx.images-amazon.com/images/I/31YRg6-cJzL._SL75_.jpg","3920  4496",0.34453781512605,0.0864,0,0.176601539891575,
"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AA7W_131461215578156806mLHHPDIPRt.jpg","http://ecx.images-amazon.com/images/I/31inMpRxCFL._SL75_.jpg","14768  10704",0.344978165938865,0.085,0,0,
"https://c1.neweggimages.com/ProductImageCompressAll300/A28W_131582656074764736KYKCcmsOo7.jpg","http://ecx.images-amazon.com/images/I/51UQGjf5ozL._SL75_.jpg","12432  13424",0.345454545454545,0.0357,0,0.701929925166931,
"https://cdnimages.opentip.com/thumbs/USS/USS-AVE5978_160_160.jpg","http://ecx.images-amazon.com/images/I/4152FPvyGSL._SL75_.jpg","6160  3664",0.349206349206349,0.0739,0,0,
"https://cdn8.bigcommerce.com/s-0kvv9/images/stencil/400x400/products/132771/183522/maleacfishjufoil__18839.1465625549.jpg?c=2","http://ecx.images-amazon.com/images/I/51ic2NtazJL._SL75_.jpg","15504  15152",0.349272349272349,0.0788,0,0,
"https://mi7.rightinthebox.com/images/190x190/201711/hpvcuk1509776469950.jpg","http://ecx.images-amazon.com/images/I/41eo0uAeOtL._SL75_.jpg","5776  7248",0.350282485875706,0.0907,0,0,
"https://mi6.rightinthebox.com/images/240x240/201404/rnoott1397621258063.jpg","http://ecx.images-amazon.com/images/I/41OAU%2Brda4L._SL75_.jpg","9424  6576",0.350515463917526,0.057,0,0.278015519217307,
"https://cdn-tp3.mozu.com/24484-36801/cms/36801/files/ab6ee925-c4dd-4300-b225-d746eca590f3?maxWidth=265&_mzcb=_1540419596020","http://ecx.images-amazon.com/images/I/51glo3lw%2BuL._SL75_.jpg","14992  15088",0.350537634408602,0.1061,0,0,
"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V0KK_1_201808031875473006.jpg","http://ecx.images-amazon.com/images/I/51tk0ietSQL._SL75_.jpg","10224  14512",0.35126582278481,0.0794,0,0,
