"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","matched",
"https://target.scene7.com/is/image/Target/GUEST_8887d804-a0cb-4fc4-9811-34de5c9a861a?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61b7CBLyTbL._SL75_.jpg","11376  15824",0.372159090909091,0.1673,0,1,
"https://target.scene7.com/is/image/Target/53539111?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31ZSWP2WoCL._SL75_.jpg","15696  8208",0.373716632443532,0.093,0,1,
"https://target.scene7.com/is/image/Target/53580393?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31BfJA%2B4nxL._SL75_.jpg","14288  8784",0.374717832957111,0.1047,0,1,
"https://target.scene7.com/is/image/Target/GUEST_6ecdc5c2-a799-45e1-945e-3eec44cbb34f?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31CxWpUBstL._SL75_.jpg","15888  4848",0.37525354969574,0.1246,0,1,
"https://target.scene7.com/is/image/Target/17028488?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51dNFsHM2HL._SL75_.jpg","15792  16112",0.377551020408163,0.0209,0,1,
"https://target.scene7.com/is/image/Target/GUEST_74bcec8b-e04b-406c-bcc5-8af870800f53?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51uImXSwIHL._SL75_.jpg","14832  13936",0.378260869565217,0.1544,0,1,
"https://target.scene7.com/is/image/Target/GUEST_6dd68174-373a-45ec-ae6d-79085097b6c8?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51%2BvbMQQp3L._SL75_.jpg","13424  9840",0.379807692307692,0.1211,0,1,
"https://target.scene7.com/is/image/Target/53667620?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51JKAZ7W9WL._SL75_.jpg","8368  1808",0.37984496124031,0.0277,0,1,
"https://target.scene7.com/is/image/Target/GUEST_1ff7e3d1-26fb-4459-9cfe-5b5a34dac30e?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41PwJaSCmsL._SL75_.jpg","14768  4016",0.379912663755458,0.2809,0,1,
"https://target.scene7.com/is/image/Target/GUEST_4f361405-2aef-4276-b98f-e45bcb53739b?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51fFIibg2nL._SL75_.jpg","16112  16112",0.38,0.1401,0,1,
"https://target.scene7.com/is/image/Target/GUEST_812d4c56-3a66-4944-b9cf-918fdece6a69?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41XplxighOL._SL75_.jpg","16112  3184",0.38,0.2151,0,1,
"https://target.scene7.com/is/image/Target/GUEST_d73ecd16-d39d-49dc-b2c3-0e427e756515?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31ocEZL26WL._SL75_.jpg","13488  9520",0.380382775119617,0.0408,0,1,
"https://target.scene7.com/is/image/Target/GUEST_141caa0b-e622-47f1-8df3-9fed0f9f9622?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61cAI0Ik1KL._SL75_.jpg","16080  10864",0.380761523046092,0.1258,0,1,
"https://target.scene7.com/is/image/Target/52118874?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41hzyF6E55L._SL75_.jpg","9840  4048",0.381578947368421,0.0664,0,1,
"https://target.scene7.com/is/image/Target/GUEST_f78a1ea4-bd33-4d49-b440-a970e930ea0b?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51ikxzXod7L._SL75_.jpg","7632  15984",0.382978723404255,0.0781,0,1,
"https://target.scene7.com/is/image/Target/53089796?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/416nmVzkeZL._SL75_.jpg","12880  2128",0.383458646616541,0.1204,0,1,
"https://target.scene7.com/is/image/Target/GUEST_7e0751b3-e1e3-4ec0-9e50-adf42b421b37?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61FqfvCq%2BLL._SL75_.jpg","15632  13136",0.383505154639175,0.0851,0,1,
"https://target.scene7.com/is/image/Target/GUEST_7fbe85e7-e382-4d28-a3cc-bbd815376c37?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/517BN7-j2WL._SL75_.jpg","5616  13168",0.383720930232558,0.1226,0,1,
"https://target.scene7.com/is/image/Target/53665002?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41dlW-pc2KL._SL75_.jpg","14448  5712",0.383928571428571,0.0742,0,1,
"https://target.scene7.com/is/image/Target/53363987?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/516ZKq2dWbL._SL75_.jpg","16112  14864",0.384,0.0307,0,1,
"https://target.scene7.com/is/image/Target/53081766?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41xgMLTuZBL._SL75_.jpg","12848  14192",0.384422110552764,0.0796,0,1,
"https://target.scene7.com/is/image/Target/53190425?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41DugHcP0gL._SL75_.jpg","6512  6768",0.385,0.1564,0,1,
"https://target.scene7.com/is/image/Target/53190425?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41DugHcP0gL._SL75_.jpg","6512  6768",0.385,0.1564,0,1,
"https://target.scene7.com/is/image/Target/14346336?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/4169SjDY30L._SL75_.jpg","13808  7600",0.385514018691589,0.0536,0,1,
"https://target.scene7.com/is/image/Target/52922533?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51dPhOitVpL._SL75_.jpg","14384  7728",0.385650224215247,0.0776,0,1,
"https://target.scene7.com/is/image/Target/GUEST_9088ac3b-5597-4cb3-bd9c-7dc16df38894?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31W738h8FwL._SL75_.jpg","11376  2512",0.386363636363636,0.0499,0,1,
"https://target.scene7.com/is/image/Target/17136560?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41fk6IewqxL._SL75_.jpg","7728  5808",0.386554621848739,0.2162,0,1,
"https://target.scene7.com/is/image/Target/12340834?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51aVnWkT4NL._SL75_.jpg","15472  15472",0.3875,0.0395,0,1,
"https://target.scene7.com/is/image/Target/53440561?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41htIZfRN9L._SL75_.jpg","8944  13424",0.38768115942029,0.0763,0,1,
"https://target.scene7.com/is/image/Target/GUEST_3f9b7d11-6839-4b4f-b0bf-eb33c92683a6?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51-cJVdMoQL._SL75_.jpg","16112  16112",0.388,0.1069,0,1,
"https://target.scene7.com/is/image/Target/GUEST_25d7ebbe-5603-45c2-b5c6-8b366195cbf1?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51dyG5mNoaL._SL75_.jpg","16112  16048",0.388,0.315,0,1,
"https://target.scene7.com/is/image/Target/53476807?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/41T7cL6D4GL._SL75_.jpg","14608  7728",0.388520971302428,0.105,0,1,
"https://target.scene7.com/is/image/Target/53177540?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/213HiDspNzL._SL75_.jpg","5712  656",0.388571428571429,0.0974,0,1,
"https://target.scene7.com/is/image/Target/53425767?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/515Uh3SmG%2BL._SL75_.jpg","13360  10192",0.388888888888889,0.1344,0,1,
"https://target.scene7.com/is/image/Target/GUEST_cdb242cc-0967-464d-859c-28e83fd5b9a2?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/511bJOXKkEL._SL75_.jpg","7024  13008",0.388888888888889,0.0992,0,1,
"https://target.scene7.com/is/image/Target/GUEST_ae916d40-29d2-4409-adb2-b8c64edc590f?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51-bgs%2B8ZrL._SL75_.jpg","15984  15952",0.389112903225806,0.0761,0,1,
"https://target.scene7.com/is/image/Target/53143118?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41eSgVrrMGL._SL75_.jpg","14256  13936",0.389140271493213,0.0701,0,1,
"https://target.scene7.com/is/image/Target/53619652?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31b89OQZfiL._SL75_.jpg","15888  7152",0.389452332657201,0.0996,0,1,
"https://target.scene7.com/is/image/Target/53619652?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31b89OQZfiL._SL75_.jpg","15888  7152",0.389452332657201,0.0996,0,1,
"https://target.scene7.com/is/image/Target/GUEST_50d5051c-6bcf-40fe-8c49-02540771d6ec?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41hxiitu1EL._SL75_.jpg","16112  15824",0.39,0.0689,0,1,
"https://target.scene7.com/is/image/Target/GUEST_9d8c0c14-04d9-47d6-8a5c-ead3ad61ec5e?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41d779sTdtL._SL75_.jpg","15856  11984",0.390243902439024,0.0691,0,1,
"https://target.scene7.com/is/image/Target/GUEST_f4cdc2d2-0089-4b2f-8843-3da4abae6176?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51o-5jGWdLL._SL75_.jpg","15760  13456",0.390593047034765,0.0975,0,1,
"https://target.scene7.com/is/image/Target/GUEST_2b89aea8-aed2-4b3b-ae4c-07184dde0ca3?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61Sw4cxyzaL._SL75_.jpg","13776  16048",0.391100702576112,0.1111,0,1,
"https://target.scene7.com/is/image/Target/14511412?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/51-NTM8iblL._SL75_.jpg","12464  16048",0.39119170984456,0.1113,0,1,
"https://target.scene7.com/is/image/Target/GUEST_c2d6ad60-f9c7-40f1-83c9-5d9447547c95?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61WJc6zbK1L._SL75_.jpg","7216  16112",0.391891891891892,0.1764,0,1,
"https://target.scene7.com/is/image/Target/52411991?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51jid7bQ5aL._SL75_.jpg","14960  4080",0.392241379310345,0.0862,0,1,
"https://target.scene7.com/is/image/Target/GUEST_f37c5c25-d73a-4873-999f-34e18d8f58ff?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41-Sf-PVtKL._SL75_.jpg","16080  12144",0.392785571142285,0.1305,0,1,
"https://target.scene7.com/is/image/Target/51581240?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31PJL1AfYML._SL75_.jpg","15824  1648",0.393075356415479,0.0961,0,1,
"https://target.scene7.com/is/image/Target/51242016?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/315unz-gEZL._SL75_.jpg","10288  6064",0.393081761006289,0.1211,0,1,
"https://target.scene7.com/is/image/Target/GUEST_437ddcf4-3aaa-40ad-84b8-002213494ea1?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61D6erXjf7L._SL75_.jpg","15984  14928",0.393145161290323,0.0742,0,1,
"https://target.scene7.com/is/image/Target/52272474?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/31jA0rMJYDL._SL75_.jpg","5808  2448",0.393258426966292,0.2026,0,1,
"https://target.scene7.com/is/image/Target/52971849?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41qqRZ4tSBL._SL75_.jpg","15888  12112",0.393509127789047,0.0827,0,1,
"https://target.scene7.com/is/image/Target/GUEST_f26eb4b1-7c4b-4743-bc64-2ebfa706b92d?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/61UVI8CmvDL._SL75_.jpg","10512  6320",0.393846153846154,0.1905,0,1,
"https://target.scene7.com/is/image/Target/53835019?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41hxrGcL5bL._SL75_.jpg","16112  15856",0.394,0.0544,0,1,
"https://target.scene7.com/is/image/Target/GUEST_168a8686-cdda-436e-a1ec-6af738268659?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51qYaO9-ZQL._SL75_.jpg","15536  10192",0.394190871369295,0.0569,0,1,
"https://target.scene7.com/is/image/Target/53267200?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41bYkEblbfL._SL75_.jpg","6768  4656",0.394230769230769,0.1445,0,1,
"https://target.scene7.com/is/image/Target/50435031?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41Y%2BQ5nHUNL._SL75_.jpg","15856  4080",0.394308943089431,0.0762,0,1,
"https://target.scene7.com/is/image/Target/53061719?wid=325&hei=325&qlt=80&fmt=webp","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB1275522461_.gif","12688  15792",0.39440203562341,0.0759,0,1,
"https://target.scene7.com/is/image/Target/50711900?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41vqBIDl4iL._SL75_.jpg","7088  16112",0.394495412844037,0.1314,0,1,
"https://target.scene7.com/is/image/Target/50711900?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41vqBIDl4iL._SL75_.jpg","7088  16112",0.394495412844037,0.1314,0,1,
