similarity_result,distance,outsource,colorSimilarity
0,0.0533,0,0.429425411411966
0,0.0613,0,0.313089068383618
0,0.0642,0,0.380244488234903
0,,0,0.380244488234903
0,0.085,0,0.40520751234731
0,0.0692,0,0.488045331975766
0,0.0697,0,0.336240515523765
0,0.0522,0,0.370256709806856
0,0.0552,0,0.234172747030485
0,0.0811,0,0.32296051284461
0,0.0886,0,0.531214971273166
0,,0,0.531214971273166
0,0.0802,0,0
0,0.0759,0,0.251993058397133
0,0.0944,0,0.650115162643109
0,0.0719,0,0.733566483232859
0,0.046,0,0.96580656727656
0,0.0195,0,1
0,0.0678,0,0.604614536953406
0,0.0768,0,0.202073483564551
0,0.0825,0,0.272359869021643
0,0.0775,0,0.44098027602726
0,0.097,0,0
0,0.0917,0,0
0,0.0807,0,0.336240519637922
0,0.0788,0,0.362554889513341
0,0.0693,0,0.184141837505615
0,0.0964,0,0.281275463812227
0,0.0727,0,0
0,0.0255,0,0.685976292455494
0,,0,0.685976292455494
0,0.0281,0,0.685976292455494
0,,0,0.685976292455494
0,,0,0.685976292455494
0,,0,0.685976292455494
0,0.0877,0,0.207733785999272
0,0.0517,0,0
0,,0,0.455967862323767
0,0.0425,0,0.455967862323767
0,0.0278,0,0
0,0.0627,0,0.350908686064349
0,,0,0
0,0.0614,0,0
0,,0,0
0,,0,0.470638982558835
0,0.0702,0,0.470638982558835
0,0.0949,0,0.34766948743572
0,,0,0.34766948743572
0,,0,1
0,,0,1
0,0.0841,0,1
0,0.0942,0,0.226531897372397
0,0.0945,0,0
0,,0,1
0,0.0594,0,1
0,,0,0.580044346460377
0,0.0292,0,0.580044346460377
0,0.009,0,0.580044346460377
0,0.0335,0,0.646279173799501
0,0.0916,0,0.401461366423634
0,0.077,0,0.428372983431955
0,0.0394,0,0.532320103176776
0,0.0871,0,0.712671794626107
0,0.0096,0,0.368377079093006
0,0.0924,0,0.517759542999148
0,0.0516,0,0.48486587555679
0,,0,0.422393381518239
0,,0,0.422393381518239
0,0.0721,0,0.422393381518239
0,0.0612,0,0.488243770100479
0,,0,0.433739545648526
0,,0,0.303226590672222
0,0.0348,0,0.433739545648526
0,,0,0.433739545648526
0,0.0863,0,0.303226590672222
0,,0,0.303226590672222
0,,0,0.330430864494446
0,,0,0.481467297636344
0,0.0739,0,0.481467297636344
0,0.043,0,0.330430864494446
0,0.0689,0,0.320945944775023
0,,0,0.320945944775023
0,0.0722,0,0.230512143367895
0,0.0718,0,0.453417967396473
0,,0,0.453417967396473
0,,0,0.262263432397528
0,0.0594,0,0.262263432397528
0,,0,0.262263432397528
0,0.0828,0,0.438117920719847
0,0.0716,0,0.429870028791176
0,0.0824,0,0.408248292844299
0,0.0535,0,0
0,0.0383,0,0.431543304007171
0,0.0453,0,0.359119947221208
0,0.0592,0,0.430182418156197
0,0.0534,0,0.353609504920111
0,0.0586,0,0.463123747694414
0,0.061,0,0.431906271825758
0,0.0672,0,0.341563464009324
0,0.0887,0,0.280443109175914
0,0.0635,0,0.393504441234763
0,0.0609,0,0.16441420965064
0,0.0819,0,0.300470211797708
0,0.0583,0,0.368647853936905
0,0.035,0,0
0,0.0717,0,0.434701043133259
0,0.0722,0,0
0,0.0995,0,0.864449810012051
0,0.0797,0,0.961348113355344
0,0.0576,0,0.496869968920681
0,0.0787,0,0.474766609505824
0,0.0781,0,0.493222963029111
0,,0,0.768308542770318
0,0.0672,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,,0,0.768308542770318
0,0.0782,0,0.855847328641662
0,0.0945,0,0.757279231007973
0,,0,0.731077741200248
0,,0,0.731077741200248
0,0.0741,0,0.731077741200248
0,0.0923,0,0.688247200390171
0,0.0893,0,1
0,0.0759,0,0
