"_id","categoryname","domain","item","nexturl","page","pageType","url"
"5ccc63e69be2ab20a313ed6b","Sage The Barista Pro Coffee Machines","ao.com",2,,0,"search","https://ao.com/l/coffee_machines-sage-the_barista_pro/1-6-7/55-63/?WT.ac=MegaMenu|SmallAppliances|MegaMenu|2|SageBaristaProLaunch|awareness"
"5ccc63e69be2ab20a313ed6d","Electric Double Ovens","ao.com",12,"https://ao.com/l/electric_double_ovens/1/42-46-48/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",9,"search","https://ao.com/l/electric_double_ovens/1/42-46-48/"
"5ccc63e69be2ab20a313ed6e","Gas Double Ovens","ao.com",10,,0,"search","https://ao.com/l/gas_double_ovens/1/42-46-47/"
"5ccc63e69be2ab20a313ed6f","Electric Single Ovens","ao.com",13,"https://ao.com/l/electric_single_ovens/1/42-43-45/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",28,"search","https://ao.com/l/electric_single_ovens/1/42-43-45/"
"5ccc63e69be2ab20a313ed70","Gas Single Ovens","ao.com",12,"https://ao.com/l/gas_single_ovens/1/42-43-44/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/gas_single_ovens/1/42-43-44/"
"5ccc63e69be2ab20a313ed71","Built In, Built Under Gas Double Ovens","ao.com",10,,0,"search","https://ao.com/l/gas_double_ovens-built_in--or--built_under/1-9/42-46-47/"
"5ccc63e69be2ab20a313ed72","Warming Drawers","ao.com",12,"https://ao.com/l/warming_drawers/1/42-51/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/warming_drawers/1/42-51/"
"5ccc63e69be2ab20a313ed73","Single Ovens - height of 40.0 - 50.0","ao.com",12,"https://ao.com/l/single_ovens-40_50_cm_high/1-25/42-43/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",4,"search","https://ao.com/l/single_ovens-40_50_cm_high/1-25/42-43/"
"5ccc63e69be2ab20a313ed74","Steam Ovens","ao.com",13,"https://ao.com/l/steam_ovens/1/42-49/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/steam_ovens/1/42-49/"
"5ccc63e69be2ab20a313ed75","Ovens","ao.com",12,"https://ao.com/l/ovens-pyrolytic_self_cleaning/1-90/42/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",10,"search","https://ao.com/l/ovens-pyrolytic_self_cleaning/1-90/42/"
"5ccc63e69be2ab20a313ed76","Electric Range Cookers","ao.com",13,"https://ao.com/l/electric_range_cookers/1/13-15/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",27,"search","https://ao.com/l/electric_range_cookers/1/13-15/"
"5ccc63e69be2ab20a313ed77","Gas Range Cookers","ao.com",12,"https://ao.com/l/gas_range_cookers/1/13-14/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",7,"search","https://ao.com/l/gas_range_cookers/1/13-14/"
"5ccc63e69be2ab20a313ed78","Dual Fuel Range Cookers","ao.com",13,"https://ao.com/l/dual_fuel_range_cookers/1/13-16/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",29,"search","https://ao.com/l/dual_fuel_range_cookers/1/13-16/"
"5ccc63e69be2ab20a313ed79","Microwaves with Standard Microwave Oven functions","ao.com",12,"https://ao.com/l/microwaves-free_standing-standard_microwave_oven/1-9-85/42-50/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",11,"search","https://ao.com/l/microwaves-free_standing-standard_microwave_oven/1-9-85/42-50/"
"5ccc63e69be2ab20a313ed7b","Microwaves with Microwave With Grill functions","ao.com",12,"https://ao.com/l/microwaves-microwave_with_grill/1-85/42-50/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",6,"search","https://ao.com/l/microwaves-microwave_with_grill/1-85/42-50/"
"5ccc63e69be2ab20a313ed7c","Microwaves , 20.0 - 30.0 cm high","ao.com",12,"https://ao.com/l/microwaves-20_30_cm_high/1-25/42-50/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",11,"search","https://ao.com/l/microwaves-20_30_cm_high/1-25/42-50"
"5ccc63e69be2ab20a313ed7d","Microwaves with Microwave With Grill functions","ao.com",12,"https://ao.com/l/microwaves-free_standing-microwave_with_grill/1-9-85/42-50/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/microwaves-free_standing-microwave_with_grill/1-9-85/42-50/"
"5ccc63e69be2ab20a313ed7f","American Fridge Freezers","ao.com",12,"https://ao.com/l/american_fridge_freezers/1/26-27/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",14,"search","https://ao.com/l/american_fridge_freezers/1/26-27/"
"5ccc63e69be2ab20a313ed80","American Fridge Freezers","ao.com",12,"https://ao.com/l/american_fridge_freezers-water--or--water_and_ice/1-81/26-27/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",9,"search","https://ao.com/l/american_fridge_freezers-water_and_ice--or--water/1-81/26-27/"
"5ccc63e69be2ab20a313ed81","American Fridge Freezers","ao.com",12,"https://ao.com/l/american_fridge_freezers-3068/1-20/26-27/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",6,"search","https://ao.com/l/american_fridge_freezers-3068/1-20/26-27/"
"5ccc63e69be2ab20a313ed82","American Fridge Freezers No Plumbing Required","ao.com",12,"https://ao.com/l/american_fridge_freezers-no_plumbing_required/1-79/26-27/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",9,"search","https://ao.com/l/american_fridge_freezers-no_plumbing_required/1-79/26-27/"
"5ccc63e69be2ab20a313ed83","Samsung American Fridge Freezers","ao.com",12,"https://ao.com/l/american_fridge_freezers-samsung/1-6/26-27/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",0,"search","https://ao.com/l/american_fridge_freezers-samsung/1-6/26-27/"
"5ccc63e69be2ab20a313ed84","Built In and Integrated Fridge Freezers","ao.com",12,"https://ao.com/l/fridge_freezers-built_in/1-9/26-28/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",9,"search","https://ao.com/l/fridge_freezers-built_in/1-9/26-28/"
"5ccc63e69be2ab20a313ed85","Cooker Hoods","ao.com",13,"https://ao.com/l/cooker_hoods/1/3/?page=12&sort=-top5productaward,-numbersold,aol_saleincvat&pagesize=12",47,"search","https://ao.com/l/cooker_hoods/1/3/"
